"","season","week","order","contestant","song","artist","song_theme","result"
"31","Season_01","20020710_wildcard_show",1,"Kelli Glover","How Am I Supposed to Live Without You","Laura Branigan",NA,"Eliminated"
"32","Season_01","20020710_wildcard_show",2,"Christopher Aaron","On Bended Knee","Boyz II Men",NA,"Eliminated"
"33","Season_01","20020710_wildcard_show",3,"Alexis Lopez","Saving All My Love for You","Whitney Houston",NA,"Eliminated"
"34","Season_01","20020710_wildcard_show",4,"R. J. Helton","Lately","Stevie Wonder",NA,"Advanced"
"35","Season_01","20020710_wildcard_show",5,"Angela Peel","As We Lay","Kelly Price",NA,"Eliminated"
"36","Season_01","20020716_top_10_perform",1,"Ryan Starr","If You Really Love Me","Stevie Wonder",NA,"Safe"
"37","Season_01","20020716_top_10_perform",2,"R. J. Helton","I Can't Help Myself (Sugar Pie Honey Bunch)","The Four Tops",NA,"Safe"
"38","Season_01","20020716_top_10_perform",3,"Nikki McKibbin","Ben","Michael Jackson",NA,"Bottom Three"
"39","Season_01","20020716_top_10_perform",4,"EJay Day","My Girl","The Temptations",NA,"Eliminated"
"40","Season_01","20020716_top_10_perform",5,"Tamyra Gray","Touch Me in the Morning","Diana Ross",NA,"Safe"
"41","Season_01","20020716_top_10_perform",6,"Justin Guarini","For Once in My Life","Stevie Wonder",NA,"Safe"
"42","Season_01","20020716_top_10_perform",7,"Jim Verraros","Easy","Commodores",NA,"Eliminated"
"43","Season_01","20020716_top_10_perform",8,"Kelly Clarkson","You're All I Need to Get By","Marvin Gaye and Tammi Terrell",NA,"Safe"
"44","Season_01","20020716_top_10_perform",9,"AJ Gil","My Cherie Amour","Stevie Wonder",NA,"Safe"
"45","Season_01","20020716_top_10_perform",10,"Christina Christian","Ain't No Mountain High Enough","Marvin Gaye and Tammi Terrell",NA,"Safe"
"46","Season_01","20020723_top_8_finalists",1,"R. J. Helton","Under the Boardwalk","The Drifters",NA,"Safe"
"47","Season_01","20020723_top_8_finalists",2,"Tamyra Gray","A Fool in Love","Ike & Tina Turner",NA,"Safe"
"48","Season_01","20020723_top_8_finalists",3,"Nikki McKibbin","Piece of My Heart","Erma Franklin",NA,"Safe"
"49","Season_01","20020723_top_8_finalists",4,"AJ Gil","How Sweet It Is (To Be Loved by You)","Marvin Gaye",NA,"Eliminated"
"50","Season_01","20020723_top_8_finalists",5,"Kelly Clarkson","(You Make Me Feel Like) A Natural Woman","Aretha Franklin",NA,"Safe"
"51","Season_01","20020723_top_8_finalists",6,"Christina Christian","When a Man Loves a Woman","Percy Sledge",NA,"Bottom Three"
"52","Season_01","20020723_top_8_finalists",7,"Justin Guarini","Sunny","Bobby Hebb",NA,"Safe"
"53","Season_01","20020723_top_8_finalists",8,"Ryan Starr","You Really Got Me","The Kinks",NA,"Bottom Two"
"54","Season_01","20020730_top_7_finalists",1,"Nikki McKibbin","Heartbreaker","Pat Benatar",NA,"Bottom Three"
"55","Season_01","20020730_top_7_finalists",2,"Ryan Starr","Last Dance","Donna Summer",NA,"Eliminated"
"56","Season_01","20020730_top_7_finalists",3,"Christina Christian","Ain't No Sunshine","Bill Withers",NA,"Safe"
"57","Season_01","20020730_top_7_finalists",4,"Justin Guarini","Someday We'll All Be Free","Donny Hathaway",NA,"Bottom Two"
"58","Season_01","20020730_top_7_finalists",5,"Kelly Clarkson","Don't Play That Song (You Lied)","Aretha Franklin",NA,"Safe"
"59","Season_01","20020730_top_7_finalists",6,"R. J. Helton","Superstition","Stevie Wonder",NA,"Safe"
"60","Season_01","20020730_top_7_finalists",7,"Tamyra Gray","If I Were Your Woman","Gladys Knight & the Pips",NA,"Safe"
"61","Season_01","20020806_top_6_finalists",1,"Tamyra Gray","Minnie the Moocher","Cab Calloway and His Orchestra",NA,"Safe"
"62","Season_01","20020806_top_6_finalists",2,"Justin Guarini","Route 66","Nat King Cole",NA,"Safe"
"63","Season_01","20020806_top_6_finalists",3,"Nikki McKibbin","Hard-Hearted Hannah","Paul Whiteman and His Orchestra",NA,"Bottom Three"
"64","Season_01","20020806_top_6_finalists",4,"Christina Christian","The Glory of Love","Benny Goodman",NA,"Eliminated"
"65","Season_01","20020806_top_6_finalists",5,"R. J. Helton","I Won't Dance","Fred Astaire and Ginger Rogers",NA,"Bottom Two"
"66","Season_01","20020806_top_6_finalists",6,"Kelly Clarkson","Stuff Like That There","The King Sisters",NA,"Safe"
"67","Season_01","20020813_top_5_finalists",1,"Kelly Clarkson","Walk On By","Dionne Warwick",NA,"Safe"
"68","Season_01","20020813_top_5_finalists",2,"R. J. Helton","Arthur's Theme (Best That You Can Do)","Christopher Cross",NA,"Eliminated"
"69","Season_01","20020813_top_5_finalists",3,"Tamyra Gray","A House is Not a Home","Dionne Warwick",NA,"Safe"
"70","Season_01","20020813_top_5_finalists",4,"Justin Guarini","The Look of Love","Dusty Springfield",NA,"Safe"
"71","Season_01","20020813_top_5_finalists",5,"Nikki McKibbin","(There's) Always Something There to Remind Me","Lou Johnson",NA,"Bottom Two"
"72","Season_01","20020820_top_4_finalists",1,"Tamyra Gray","New Attitude","Patti LaBelle","First Song","Eliminated"
"73","Season_01","20020820_top_4_finalists",2,"Nikki McKibbin","Mary Jane","Alanis Morissette","First Song","Bottom Two"
"74","Season_01","20020820_top_4_finalists",3,"Kelly Clarkson","It's Raining Men","The Weather Girls","First Song","Safe"
"75","Season_01","20020820_top_4_finalists",4,"Justin Guarini","Get Here","Oleta Adams","First Song","Safe"
"76","Season_01","20020820_top_4_finalists",5,"Tamyra Gray","Feel the Fire","Stephanie Mills","Second Song","Eliminated"
"77","Season_01","20020820_top_4_finalists",6,"Nikki McKibbin","I'm the Only One","Melissa Etheridge","Second Song","Bottom Two"
"78","Season_01","20020820_top_4_finalists",7,"Kelly Clarkson","I Surrender","Celine Dion","Second Song","Safe"
"79","Season_01","20020820_top_4_finalists",8,"Justin Guarini","P.Y.T. (Pretty Young Thing)","Michael Jackson","Second Song","Safe"
"80","Season_01","20020827_top_3_finalists",1,"Nikki McKibbin","Edge of Seventeen","Stevie Nicks","Contestant Choice","Third Place"
"81","Season_01","20020827_top_3_finalists",2,"Justin Guarini","Let's Stay Together","Al Green","Contestant Choice","Safe"
"82","Season_01","20020827_top_3_finalists",3,"Kelly Clarkson","Think Twice","Celine Dion","Contestant Choice","Safe"
"83","Season_01","20020827_top_3_finalists",4,"Nikki McKibbin","Black Velvet","Alannah Myles","Judge Choice","Third Place"
"84","Season_01","20020827_top_3_finalists",5,"Justin Guarini","Don't Let the Sun Go Down on Me","Elton John","Judge Choice","Safe"
"85","Season_01","20020827_top_3_finalists",6,"Kelly Clarkson","Without You","Badfinger","Judge Choice","Safe"
"86","Season_01","20020903_top_2_finalists",1,"Justin Guarini","Before Your Love","Kelly Clarkson","First Song","Runner-up"
"87","Season_01","20020903_top_2_finalists",2,"Kelly Clarkson","A Moment Like This","Kelly Clarkson","First Song","Winner"
"88","Season_01","20020903_top_2_finalists",3,"Justin Guarini","Get Here","Oleta Adams","Second Song","Runner-up"
"89","Season_01","20020903_top_2_finalists",4,"Kelly Clarkson","Respect","Aretha Franklin","Second Song","Winner"
"90","Season_01","20020903_top_2_finalists",5,"Justin Guarini","A Moment Like This","Kelly Clarkson","Third Song","Runner-up"
"91","Season_01","20020903_top_2_finalists",6,"Kelly Clarkson","Before Your Love","Kelly Clarkson","Third Song","Winner"
"92","Season_02","20030204_top_32_group_1",1,"Kimberly Caldwell","Come to My Window","Melissa Etheridge",NA,"Wild Card (3rd)"
"93","Season_02","20030204_top_32_group_1",2,"Patrick Fortson","Un-Break My Heart","Toni Braxton",NA,"Eliminated"
"94","Season_02","20030204_top_32_group_1",3,"J.D. Adams","All in Love Is Fair","Stevie Wonder",NA,"Eliminated"
"95","Season_02","20030204_top_32_group_1",4,"Trenyce","Love Sneakin' Up On You","Bonnie Raitt",NA,"Wild Card"
"96","Season_02","20030204_top_32_group_1",5,"Meosha Denton","How Do I Live","LeAnn Rimes",NA,"Eliminated"
"97","Season_02","20030204_top_32_group_1",6,"Bettis Richardson","Thank You","Boyz II Men",NA,"Eliminated"
"98","Season_02","20030204_top_32_group_1",7,"Charles Grigsby","Overjoyed","Stevie Wonder",NA,"Advanced"
"99","Season_02","20030204_top_32_group_1",8,"Julia DeMato","Son of a Preacher Man","Dusty Springfield",NA,"Advanced"
"100","Season_02","20030211_top_32_group_2",1,"Clay Aiken","Open Arms","Journey",NA,"Wild Card (3rd)"
"101","Season_02","20030211_top_32_group_2",2,"Candice Coleman","Piece of My Heart","Erma Franklin",NA,"Eliminated"
"102","Season_02","20030211_top_32_group_2",3,"Rebecca Bond","Caught Up in the Rapture","Anita Baker",NA,"Eliminated"
"103","Season_02","20030211_top_32_group_2",4,"Jacob John Smalley","Anytime","Brian McKnight",NA,"Eliminated"
"104","Season_02","20030211_top_32_group_2",5,"Hadas","You Light Up My Life","Kasey Cisyk",NA,"Eliminated"
"105","Season_02","20030211_top_32_group_2",6,"Ruben Studdard","Superstar","Delaney & Bonnie",NA,"Advanced"
"106","Season_02","20030211_top_32_group_2",7,"Kimberley Locke","Over the Rainbow","Judy Garland",NA,"Advanced"
"107","Season_02","20030211_top_32_group_2",8,"Jennifer Fuentes","I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston",NA,"Eliminated"
"108","Season_02","20030218_top_32_group_3",1,"Kimberly Kelsey","It's All Coming Back to Me Now","Pandora's Box",NA,"Eliminated"
"109","Season_02","20030218_top_32_group_3",2,"Jordan Segundo","For Your Love","Stevie Wonder",NA,"Eliminated"
"110","Season_02","20030218_top_32_group_3",3,"Vanessa Olivarez","Out Here On My Own","Irene Cara",NA,"Advanced"
"111","Season_02","20030218_top_32_group_3",4,"Rickey Smith","One Last Cry","Brian McKnight",NA,"Advanced"
"112","Season_02","20030218_top_32_group_3",5,"Samantha Cohen","Something He Can Feel","Aretha Franklin",NA,"Eliminated"
"113","Season_02","20030218_top_32_group_3",6,"Louis Gazzara","How Am I Supposed to Live Without You","Laura Branigan",NA,"Eliminated"
"114","Season_02","20030218_top_32_group_3",7,"Equoia Coleman","The Way We Were","Barbra Streisand",NA,"Top 3/Eliminated"
"115","Season_02","20030218_top_32_group_3",8,"George Trice","Unchained Melody","The Righteous Brothers",NA,"Eliminated"
"116","Season_02","20030225_top_32_group_4",1,"Sylvia Chibiliti","Didn't We Almost Have It All","Whitney Houston",NA,"Eliminated"
"117","Season_02","20030225_top_32_group_4",2,"Chip Days","A Song for You","Leon Russell",NA,"Wild Card"
"118","Season_02","20030225_top_32_group_4",3,"Juanita Barber","What About the Children","Yolanda Adams",NA,"Eliminated"
"119","Season_02","20030225_top_32_group_4",4,"Patrick Lake","When I See You Smile","Bad English",NA,"Top 3/Eliminated"
"120","Season_02","20030225_top_32_group_4",5,"Nasheka Siddall","Open My Heart","Yolanda Adams",NA,"Wild Card"
"121","Season_02","20030225_top_32_group_4",6,"Joshua Gracin","I'll Be","Edwin McCain",NA,"Advanced"
"122","Season_02","20030225_top_32_group_4",7,"Ashley Hartman","Touch Me in the Morning","Diana Ross",NA,"Eliminated"
"123","Season_02","20030225_top_32_group_4",8,"Corey Clark","Foolish Heart","Steve Perry",NA,"Advanced"
"124","Season_02","20030304_wildcard_show",1,"Kimberly Caldwell","I Feel the Earth Move","Carole King",NA,"Advanced (Randy's choice)"
"125","Season_02","20030304_wildcard_show",2,"Clay Aiken","Don't Let the Sun Go Down on Me","Elton John",NA,"Advanced (Public vote)"
"126","Season_02","20030304_wildcard_show",3,"Nasheka Siddall","Wind Beneath My Wings","Roger Whitaker",NA,"Eliminated"
"127","Season_02","20030304_wildcard_show",4,"Carmen Rasmusen","Can't Fight the Moonlight","LeAnn Rimes",NA,"Advanced (Simon's choice)"
"128","Season_02","20030304_wildcard_show",5,"Olivia Mojica","Because You Loved Me","Celine Dion",NA,"Eliminated"
"129","Season_02","20030304_wildcard_show",6,"Janine Falsone","We Belong","Pat Benatar",NA,"Eliminated"
"130","Season_02","20030304_wildcard_show",7,"Chip Days","Rock with You","Michael Jackson",NA,"Eliminated"
"131","Season_02","20030304_wildcard_show",8,"Aliceyn Cooney","Angel","Sarah McLachlan",NA,"Eliminated"
"132","Season_02","20030304_wildcard_show",9,"Trenyce","Let's Stay Together","Al Green",NA,"Advanced (Paula's choice)"
"133","Season_02","20030311_top_12_perform",1,"Kimberley Locke","(Love Is Like a) Heat Wave","Martha and the Vandellas",NA,"Bottom Three"
"134","Season_02","20030311_top_12_perform",2,"Joshua Gracin","Baby I Need Your Loving","The Four Tops",NA,"Safe"
"135","Season_02","20030311_top_12_perform",3,"Charles Grigsby","How Sweet It Is (To Be Loved by You)","Marvin Gaye",NA,"Safe"
"136","Season_02","20030311_top_12_perform",4,"Kimberly Caldwell","Nowhere to Run","Martha and the Vandellas",NA,"Safe"
"137","Season_02","20030311_top_12_perform",5,"Rickey Smith","1-2-3","Len Barry",NA,"Safe"
"138","Season_02","20030311_top_12_perform",6,"Julia DeMato","Where Did Our Love Go","The Supremes",NA,"Bottom Two"
"139","Season_02","20030311_top_12_perform",7,"Clay Aiken","I Can't Help Myself (Sugar Pie Honey Bunch)","The Four Tops",NA,"Safe"
"140","Season_02","20030311_top_12_perform",8,"Vanessa Olivarez","You Keep Me Hangin' On","The Supremes",NA,"Eliminated"
"141","Season_02","20030311_top_12_perform",9,"Corey Clark","This Old Heart of Mine (Is Weak for You)","The Isley Brothers",NA,"Safe"
"142","Season_02","20030311_top_12_perform",10,"Carmen Rasmusen","You Can't Hurry Love","The Supremes",NA,"Safe"
"143","Season_02","20030311_top_12_perform",11,"Trenyce","Come See About Me","The Supremes",NA,"Safe"
"144","Season_02","20030311_top_12_perform",12,"Ruben Studdard","Baby I Need Your Loving","The Four Tops",NA,"Safe"
"145","Season_02","20030318_top_11_perform",1,"Corey Clark","Against All Odds (Take a Look at Me Now)","Phil Collins","Against All Odds","Bottom Two"
"146","Season_02","20030318_top_11_perform",2,"Ruben Studdard","A Whole New World","Brad Kane & Lea Salonga","Aladdin","Safe"
"147","Season_02","20030318_top_11_perform",3,"Trenyce","I Have Nothing","Whitney Houston","The Bodyguard","Safe"
"148","Season_02","20030318_top_11_perform",4,"Clay Aiken","Somewhere Out There","Linda Ronstadt & James Ingram","An American Tail","Safe"
"149","Season_02","20030318_top_11_perform",5,"Kimberly Caldwell","The Shoop Shoop Song (It's in His Kiss)","Betty Everett","Mermaids","Safe"
"150","Season_02","20030318_top_11_perform",6,"Joshua Gracin","I Don't Want to Miss a Thing","Aerosmith","Armageddon","Safe"
"151","Season_02","20030318_top_11_perform",7,"Carmen Rasmusen","Hopelessly Devoted to You","Olivia Newton-John","Grease","Safe"
"152","Season_02","20030318_top_11_perform",8,"Charles Grigsby","You Can't Win","Michael Jackson","The Wiz","Eliminated"
"153","Season_02","20030318_top_11_perform",9,"Rickey Smith","It Might Be You","Stephen Bishop","Tootsie","Safe"
"154","Season_02","20030318_top_11_perform",10,"Julia DeMato","Flashdance... What a Feeling","Irene Cara","Flashdance","Bottom Three"
"155","Season_02","20030318_top_11_perform",11,"Kimberley Locke","Home","Diana Ross","The Wiz","Safe"
"156","Season_02","20030325_top_10_perform",1,"Joshua Gracin","Ain't Goin' Down ('Til The Sun Comes Up)","Garth Brooks",NA,"Safe"
"157","Season_02","20030325_top_10_perform",2,"Trenyce","I Need You","LeAnn Rimes",NA,"Safe"
"158","Season_02","20030325_top_10_perform",3,"Kimberley Locke","I Can't Make You Love Me","Bonnie Raitt",NA,"Safe"
"159","Season_02","20030325_top_10_perform",4,"Corey Clark","Drift Away","John Henry Kurtz",NA,"Disqualified"
"160","Season_02","20030325_top_10_perform",5,"Carmen Rasmusen","Wild Angels","Martina McBride",NA,"Safe"
"161","Season_02","20030325_top_10_perform",6,"Rickey Smith","I've Done Enough Dyin' Today","Larry Gatlin",NA,"Bottom Three"
"162","Season_02","20030325_top_10_perform",7,"Kimberly Caldwell","Anymore","Travis Tritt",NA,"Bottom Two"
"163","Season_02","20030325_top_10_perform",8,"Ruben Studdard","Sweet Home Alabama","Lynyrd Skynyrd",NA,"Safe"
"164","Season_02","20030325_top_10_perform",9,"Julia DeMato","Breathe","Faith Hill",NA,"Eliminated"
"165","Season_02","20030325_top_10_perform",10,"Clay Aiken","Someone Else's Star","Bryan White",NA,"Safe"
"166","Season_02","20030401_top_8_perform",1,"Rickey Smith","Let's Groove","Earth, Wind & Fire",NA,"Safe"
"167","Season_02","20030401_top_8_perform",2,"Carmen Rasmusen","Turn the Beat Around","Vicki Sue Robinson",NA,"Bottom Two"
"168","Season_02","20030401_top_8_perform",3,"Kimberly Caldwell","Knock on Wood","Amii Stewart",NA,"Safe"
"169","Season_02","20030401_top_8_perform",4,"Clay Aiken","Everlasting Love","Carl Carlton",NA,"Safe"
"170","Season_02","20030401_top_8_perform",5,"Trenyce","I'm Every Woman","Chaka Khan",NA,"Bottom Two"
"171","Season_02","20030401_top_8_perform",6,"Ruben Studdard","Can't Get Enough of Your Love, Babe","Barry White",NA,"Safe"
"172","Season_02","20030401_top_8_perform",7,"Kimberley Locke","It's Raining Men","The Weather Girls",NA,"Bottom Three"
"173","Season_02","20030401_top_8_perform",8,"Joshua Gracin","Celebration","Kool & the Gang",NA,"Safe"
"174","Season_02","20030408_top_8_perform",1,"Clay Aiken","At This Moment","Billy Vera & The Beaters",NA,"Safe"
"175","Season_02","20030408_top_8_perform",2,"Kimberley Locke","My Heart Will Go On","Celine Dion",NA,"Bottom Three"
"176","Season_02","20030408_top_8_perform",3,"Rickey Smith","Endless Love","Diana Ross and Lionel Richie",NA,"Eliminated"
"177","Season_02","20030408_top_8_perform",4,"Kimberly Caldwell","(Everything I Do) I Do It for You","Bryan Adams",NA,"Bottom Two"
"178","Season_02","20030408_top_8_perform",5,"Joshua Gracin","Amazed","Lonestar",NA,"Safe"
"179","Season_02","20030408_top_8_perform",6,"Carmen Rasmusen","Call Me","Blondie",NA,"Safe"
"180","Season_02","20030408_top_8_perform",7,"Trenyce","The Power of Love","Jennifer Rush",NA,"Safe"
"181","Season_02","20030408_top_8_perform",8,"Ruben Studdard","Kiss and Say Goodbye","The Manhattans",NA,"Safe"
"182","Season_02","20030415_top_7_perform",1,"Kimberly Caldwell","It's Still Rock and Roll to Me","Billy Joel",NA,"Eliminated"
"183","Season_02","20030415_top_7_perform",2,"Ruben Studdard","Just the Way You Are","Billy Joel",NA,"Safe"
"184","Season_02","20030415_top_7_perform",3,"Kimberley Locke","New York State of Mind","Billy Joel",NA,"Safe"
"185","Season_02","20030415_top_7_perform",4,"Carmen Rasmusen","And So It Goes","Billy Joel",NA,"Bottom Two"
"186","Season_02","20030415_top_7_perform",5,"Joshua Gracin","Piano Man","Billy Joel",NA,"Safe"
"187","Season_02","20030415_top_7_perform",6,"Trenyce","Baby Grand","Have Mercy",NA,"Bottom Three"
"188","Season_02","20030415_top_7_perform",7,"Clay Aiken","Tell Her About It","Billy Joel",NA,"Safe"
"189","Season_02","20030422_top_6_perform",1,"Kimberley Locke","If You Asked Me To","Patti LaBelle",NA,"Safe"
"190","Season_02","20030422_top_6_perform",2,"Clay Aiken","I Could Not Ask for More","Edwin McCain",NA,"Safe"
"191","Season_02","20030422_top_6_perform",3,"Trenyce","Have You Ever?","Brandy",NA,"Bottom Three"
"192","Season_02","20030422_top_6_perform",4,"Joshua Gracin","That's When I'll Stop Loving You","NSYNC",NA,"Bottom Two"
"193","Season_02","20030422_top_6_perform",5,"Carmen Rasmusen","Love Will Lead You Back","Taylor Dayne",NA,"Eliminated"
"194","Season_02","20030422_top_6_perform",6,"Ruben Studdard","Music of My Heart","Gloria Estefan and NSYNC",NA,"Safe"
"195","Season_02","20030429_top_5_perform",1,"Ruben Studdard","Ain't Too Proud to Beg","The Temptations","First Song","Bottom Two"
"196","Season_02","20030429_top_5_perform",2,"Trenyce","Proud Mary","Credence Clearwater Revival","First Song","Eliminated"
"197","Season_02","20030429_top_5_perform",3,"Joshua Gracin","Then You Can Tell Me Goodbye","The Casinos","First Song","Safe"
"198","Season_02","20030429_top_5_perform",4,"Kimberley Locke","I Heard It Through the Grapevine","Gladys Knight & the Pips","First Song","Safe"
"199","Season_02","20030429_top_5_perform",5,"Clay Aiken","Build Me Up Buttercup","The Foundations","First Song","Safe"
"200","Season_02","20030429_top_5_perform",6,"Ruben Studdard","Breaking Up is Hard to Do","Neil Sedaka","Second Song","Bottom Two"
"201","Season_02","20030429_top_5_perform",7,"Trenyce","Love Will Keep Us Together","Captain & Tennille","Second Song","Eliminated"
"202","Season_02","20030429_top_5_perform",8,"Joshua Gracin","Bad Blood","Neil Sedaka","Second Song","Safe"
"203","Season_02","20030429_top_5_perform",9,"Kimberley Locke","Where the Boys Are","Connie Francis","Second Song","Safe"
"204","Season_02","20030429_top_5_perform",10,"Clay Aiken","Solitaire","Neil Sedaka","Second Song","Safe"
"205","Season_02","20030506_top_4_perform",1,"Joshua Gracin","Jive Talkin'","Bee Gees","First Song","Eliminated"
"206","Season_02","20030506_top_4_perform",2,"Clay Aiken","To Love Somebody","Bee Gees","First Song","Safe"
"207","Season_02","20030506_top_4_perform",3,"Kimberley Locke","I Just Want to Be Your Everything","Andy Gibb","First Song","Bottom Two"
"208","Season_02","20030506_top_4_perform",4,"Ruben Studdard","Nights on Broadway","Bee Gees","First Song","Safe"
"209","Season_02","20030506_top_4_perform",5,"Joshua Gracin","To Love Somebody","Bee Gees","Second Song","Eliminated"
"210","Season_02","20030506_top_4_perform",6,"Clay Aiken","Grease","Frankie Valli","Second Song","Safe"
"211","Season_02","20030506_top_4_perform",7,"Kimberley Locke","Emotion","Samantha Sang","Second Song","Bottom Two"
"212","Season_02","20030506_top_4_perform",8,"Ruben Studdard","How Can You Mend a Broken Heart","Bee Gees","Second Song","Safe"
"213","Season_02","20030513_top_3_perform",1,"Kimberley Locke","Band of Gold","Freda Payne","First Song","Third Place"
"214","Season_02","20030513_top_3_perform",2,"Ruben Studdard","Signed, Sealed, Delivered I'm Yours","Stevie Wonder","First Song","Safe"
"215","Season_02","20030513_top_3_perform",3,"Clay Aiken","Vincent","Don McLean","First Song","Safe"
"216","Season_02","20030513_top_3_perform",4,"Kimberley Locke","Anyone Who Had a Heart","Dionne Warwick","Second Song","Third Place"
"217","Season_02","20030513_top_3_perform",5,"Ruben Studdard","Smile","Charlie Chaplin","Second Song","Safe"
"218","Season_02","20030513_top_3_perform",6,"Clay Aiken","Mack the Knife","Bobby Darin","Second Song","Safe"
"219","Season_02","20030513_top_3_perform",7,"Kimberley Locke","Inseparable","Natalie Cole","Third Song","Third Place"
"220","Season_02","20030513_top_3_perform",8,"Ruben Studdard","If Ever You're in My Arms Again","Peabo Bryson","Third Song","Safe"
"221","Season_02","20030513_top_3_perform",9,"Clay Aiken","Unchained Melody","The Righteous Brothers","Third Song","Safe"
"222","Season_02","20030520_top_2_showdown",1,"Ruben Studdard","A House is Not a Home","Dionne Warwick","First Song","Winner"
"223","Season_02","20030520_top_2_showdown",2,"Clay Aiken","This Is the Night","The The","First Song","Runner-up"
"224","Season_02","20030520_top_2_showdown",3,"Ruben Studdard","Imagine","John Lennon","Second Song","Winner"
"225","Season_02","20030520_top_2_showdown",4,"Clay Aiken","Here, There and Everywhere","The Beatles","Second Song","Runner-up"
"226","Season_02","20030520_top_2_showdown",5,"Ruben Studdard","Flying Without Wings","Westlife","Third Song","Winner"
"227","Season_02","20030520_top_2_showdown",6,"Clay Aiken","Bridge Over Troubled Water","Simon & Garfunkel","Third Song","Runner-up"
"228","Season_03","20040210_top_32_group_1",1,"Diana DeGarmo","I've Got the Music in Me","Kiki Dee",NA,"Advanced"
"229","Season_03","20040210_top_32_group_1",2,"Marque Lynche","Wind Beneath My Wings","Roger Whittaker",NA,"Eliminated"
"230","Season_03","20040210_top_32_group_1",3,"Ashley Thomas","Crazy","Willie Nelson",NA,"Eliminated"
"231","Season_03","20040210_top_32_group_1",4,"Katie Webber","Orange Colored Sky","Nat King Cole",NA,"Wild Card"
"232","Season_03","20040210_top_32_group_1",5,"Erskine Walcott","Open Arms","Journey",NA,"Eliminated"
